customer_id,first_purchase_date,last_purchase_date,total_orders,total_spent,avg_order_value,days_since_first_purchase,days_since_last_purchase,product_categories,num_categories,acquisition_source,campaign_type,acquisition_cost,email_engagement_rate,return_rate,customer_segment,actual_clv
CUST_00001,2024-04-29,2025-10-23,2,186.56,102.92,626,84,"[""Beauty""]",1,Meta Ads,Prospecting,46.56,0.298,0.064,Growth-Potential,330.74
CUST_00002,2024-06-27,2025-11-07,5,374.4,79.4,567,69,"[""Fashion""]",1,Direct,None,1.79,0.524,0.051,Growth-Potential,563.08
CUST_00003,2025-02-06,2025-12-21,4,393.55,95.92,343,25,"[""Beauty"", ""Books"", ""Electronics""]",3,Organic,None,1.14,0.492,0.104,Growth-Potential,486.69
CUST_00004,2025-04-24,2025-11-15,2,193.65,102.8,266,61,"[""Home & Garden""]",1,Meta Ads,Brand,26.02,0.547,0.088,Growth-Potential,315.13
CUST_00005,2024-12-13,2025-12-24,4,570.82,134.5,398,22,"[""Books"", ""Fashion""]",2,Google Ads,Prospecting,39.78,0.456,0.106,Growth-Potential,984.29
CUST_00006,2025-07-20,2025-07-20,2,50.79,24.98,179,179,"[""Fashion"", ""Toys""]",2,Google Ads,Prospecting,25.48,0.042,0.249,Low-CLV,41.59
CUST_00007,2025-09-17,2025-11-02,8,687.64,85.05,120,74,"[""Sports""]",1,Organic,None,1.7,0.439,0.088,Growth-Potential,1247.98
CUST_00008,2024-10-11,2025-10-28,3,211.52,76.53,461,79,"[""Beauty"", ""Fashion"", ""Home & Garden""]",3,Email,None,6.32,0.582,0.138,Growth-Potential,382.85
CUST_00009,2024-05-09,2025-11-15,6,578.29,101.65,616,61,"[""Food & Beverage""]",1,Google Ads,Prospecting,68.9,0.44,0.099,Growth-Potential,1071.47
CUST_00010,2024-10-13,2025-10-25,3,137.76,48.73,459,82,"[""Beauty"", ""Books"", ""Home & Garden""]",3,Google Ads,Brand,53.58,0.39,0.105,Growth-Potential,209.28
CUST_00011,2024-02-06,2025-10-17,6,384.6,67.9,709,90,"[""Beauty""]",1,Meta Ads,Brand,16.41,0.299,0.056,Growth-Potential,482.26
CUST_00012,2024-05-30,2025-10-19,6,370.28,58.39,595,88,"[""Fashion"", ""Electronics""]",2,Direct,None,1.77,0.468,0.071,Growth-Potential,639.54
CUST_00013,2024-04-25,2025-12-24,8,910.01,107.3,630,22,"[""Food & Beverage"", ""Fashion""]",2,Meta Ads,Prospecting,27.53,0.469,0.148,Growth-Potential,1399.15
CUST_00014,2024-03-07,2025-10-23,2,194.48,89.6,679,84,"[""Toys""]",1,Direct,None,1.07,0.545,0.105,Growth-Potential,308.93
CUST_00015,2025-04-25,2025-11-25,2,119.99,57.35,265,51,"[""Home & Garden"", ""Fashion""]",2,Direct,None,4.84,0.201,0.089,Growth-Potential,172.47
CUST_00016,2025-05-18,2025-10-28,6,253.8,38.73,242,79,"[""Fashion""]",1,Meta Ads,Prospecting,25.58,0.325,0.055,Growth-Potential,441.66
CUST_00017,2025-03-20,2025-12-24,23,2770.3,125.04,301,22,"[""Beauty"", ""Home & Garden"", ""Food & Beverage""]",3,Meta Ads,Brand,44.05,0.768,0.053,High-CLV,6265.74
CUST_00018,2025-08-14,2025-12-19,8,933.82,116.59,154,27,"[""Beauty""]",1,Meta Ads,Retargeting,22.1,0.204,0.112,Growth-Potential,1396.64
CUST_00019,2025-07-10,2025-11-12,3,104.16,36.17,189,64,"[""Sports""]",1,Email,None,2.86,0.295,0.261,Low-CLV,88.14
CUST_00020,2025-10-26,2025-11-28,4,269.19,62.25,81,48,"[""Toys""]",1,Direct,None,0.22,0.284,0.084,Growth-Potential,501.63
CUST_00021,2025-08-02,2025-11-07,3,200.75,73.13,166,69,"[""Electronics""]",1,Organic,None,2.91,0.305,0.124,Growth-Potential,374.94
CUST_00022,2024-02-25,2025-12-17,9,658.37,77.01,690,29,"[""Home & Garden"", ""Fashion"", ""Toys"", ""Books""]",4,Meta Ads,Brand,16.12,0.664,0.075,High-CLV,2477.34
CUST_00023,2024-09-26,2025-11-27,4,421.66,114.38,476,49,"[""Beauty"", ""Fashion"", ""Food & Beverage"", ""Home & Garden""]",4,Organic,None,3.98,0.365,0.117,Growth-Potential,608.94
CUST_00024,2024-03-27,2025-11-26,2,192.17,98.05,659,50,"[""Electronics"", ""Food & Beverage""]",2,Referral,None,1.31,0.359,0.078,Growth-Potential,365.44
CUST_00025,2024-12-02,2025-11-06,4,189.8,51.4,409,70,"[""Sports"", ""Electronics""]",2,Organic,None,0.01,0.439,0.085,Growth-Potential,335.38
CUST_00026,2024-08-04,2025-05-14,3,121.8,39.31,529,246,"[""Fashion"", ""Books"", ""Home & Garden""]",3,Meta Ads,Retargeting,45.01,0.282,0.247,Low-CLV,122.15
CUST_00027,2025-02-07,2025-12-09,7,449.27,65.41,342,37,"[""Sports"", ""Fashion"", ""Beauty""]",3,Direct,None,3.03,0.251,0.092,Growth-Potential,821.54
CUST_00028,2024-07-07,2025-12-21,5,389.28,75.84,557,25,"[""Beauty"", ""Toys"", ""Fashion""]",3,Meta Ads,Prospecting,17.08,0.285,0.097,Growth-Potential,513.03
CUST_00029,2025-10-21,2025-10-21,3,172.01,58.7,86,86,"[""Electronics"", ""Toys"", ""Food & Beverage""]",3,Google Ads,Prospecting,30.94,0.022,0.183,Low-CLV,191.17
CUST_00030,2024-05-19,2025-03-28,3,141.48,45.63,606,293,"[""Books"", ""Toys"", ""Beauty""]",3,Referral,None,3.6,0.015,0.15,Low-CLV,147.86
CUST_00031,2025-05-16,2025-11-04,8,1058.4,123.88,244,72,"[""Beauty"", ""Home & Garden"", ""Food & Beverage"", ""Electronics""]",4,Meta Ads,Brand,25.55,0.378,0.066,Growth-Potential,1874.25
CUST_00032,2024-06-20,2025-12-04,6,260.06,44.86,574,42,"[""Toys"", ""Beauty""]",2,Google Ads,Prospecting,49.2,0.26,0.088,Growth-Potential,500.32
CUST_00033,2025-01-10,2025-11-23,8,1100.02,126.07,370,53,"[""Beauty"", ""Food & Beverage"", ""Fashion"", ""Home & Garden"", ""Toys""]",5,Google Ads,Brand,39.44,0.43,0.098,Growth-Potential,1747.4
CUST_00034,2024-05-25,2025-10-24,8,685.33,84.12,600,83,"[""Toys""]",1,Email,None,5.69,0.266,0.097,Growth-Potential,896.8
CUST_00035,2025-02-07,2026-01-06,17,1903.85,122.21,342,9,"[""Books""]",1,Meta Ads,Brand,18.09,0.705,0.034,High-CLV,4661.47
